-42.5 180.0
-42.5 172.5
-42.5 172.5
-37.5 172.5
-37.5 167.5
-32.5 167.5
-32.5 157.5
-27.5 157.5
-27.5 147.5
-22.5 147.5
-22.5 127.5
-17.5 127.5
-17.5 112.5
-22.5 112.5
-22.5 107.5
-27.5 107.5
-27.5 102.5
-32.5 102.5
-32.5 97.5
-47.5 97.5
-47.5 92.5
-52.5 92.5
-52.5 72.5
-57.5 72.5
-57.5 42.5
-62.5 42.5
-62.5 27.5
-57.5 27.5
-57.5 22.5
-52.5 22.5
-52.5 12.5
-47.5 12.5
-47.5 7.5
-42.5 7.5
-42.5 2.5
-37.5 2.5
-37.5 -7.5
-32.5 -7.5
-32.5 -12.5
-27.5 -12.5
-27.5 -27.5
-22.5 -27.5
-22.5 -47.5
-17.5 -47.5
-17.5 -67.5
-22.5 -67.5
-22.5 -77.5
-27.5 -77.5
-27.5 -82.5
-47.5 -82.5
-47.5 -87.5
-77.5 -87.5
-77.5 -92.5
-87.5 -92.5
-87.5 -112.5
-92.5 -112.5
-92.5 -122.5
-97.5 -122.5
-97.5 -137.5
-92.5 -137.5
-92.5 -142.5
-82.5 -142.5
-82.5 -147.5
-72.5 -147.5
-72.5 -152.5
-67.5 -152.5
-67.5 -157.5
-62.5 -157.5
-62.5 -162.5
-57.5 -162.5
-57.5 -167.5
-52.5 -167.5
-52.5 -172.5
-47.5 -172.5
-47.5 -177.5
-42.5 -177.5
-42.5 -180.0
