82.5 57.5
87.5 57.5
87.5 42.5
92.5 42.5
92.5 22.5
97.5 22.5
97.5 -17.5
92.5 -17.5
92.5 -22.5
87.5 -22.5
87.5 -27.5
82.5 -27.5
82.5 -37.5
87.5 -37.5
87.5 -47.5
92.5 -47.5
92.5 -57.5
87.5 -57.5
87.5 -67.5
82.5 -67.5
82.5 -72.5
77.5 -72.5
77.5 -77.5
62.5 -77.5
62.5 -72.5
57.5 -72.5
57.5 -67.5
52.5 -67.5
52.5 -37.5
57.5 -37.5
57.5 -27.5
62.5 -27.5
62.5 -22.5
57.5 -22.5
57.5 -12.5
52.5 -12.5
52.5 -7.5
47.5 -7.5
47.5 -2.5
42.5 -2.5
42.5 2.5
37.5 2.5
37.5 12.5
32.5 12.5
32.5 22.5
27.5 22.5
27.5 32.5
22.5 32.5
22.5 47.5
17.5 47.5
17.5 67.5
22.5 67.5
22.5 77.5
27.5 77.5
27.5 82.5
32.5 82.5
32.5 87.5
47.5 87.5
47.5 92.5
67.5 92.5
67.5 87.5
72.5 87.5
72.5 82.5
77.5 82.5
77.5 77.5
82.5 77.5
82.5 57.5
